# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.facet.change.listener.before.change.events.ms,1708438423315000000,1708438483315000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1708438423315000000,1708438483315000000,2
workspaceModel.load.cache.metadata.from.file.ms,1708438423315000000,1708438483315000000,0
workspaceModel.save.cache.to.file.ms,1708438423315000000,1708438483315000000,43
workspaceModel.mutableEntityStorage.add.diff.ms,1708438423315000000,1708438483315000000,3
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1708438423315000000,1708438483315000000,0
jps.global.initialize.library.bridges.ms,1708438423315000000,1708438483315000000,0
jps.load.project.to.empty.storage.ms,1708438423315000000,1708438483315000000,53
jps.reload.project.entities.ms,1708438423315000000,1708438483315000000,0
jps.app.storage.content.reader.load.component.ms,1708438423315000000,1708438483315000000,0
jps.save.global.entities.ms,1708438423315000000,1708438483315000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1708438423315000000,1708438483315000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1708438423315000000,1708438483315000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1708438423315000000,1708438483315000000,0
jps.project.serializers.load.ms,1708438423315000000,1708438483315000000,3
workspaceModel.mutableEntityStorage.resolve.ms,1708438423315000000,1708438483315000000,0
jps.apply.loaded.storage.ms,1708438423315000000,1708438483315000000,76
workspaceModel.mutableEntityStorage.to.snapshot.ms,1708438423315000000,1708438483315000000,0
jps.global.initialize.library.bridges.after.loading.ms,1708438423315000000,1708438483315000000,0
workspaceModel.mutableEntityStorage.entities.ms,1708438423315000000,1708438483315000000,2
jps.facet.change.listener.process.change.events.ms,1708438423315000000,1708438483315000000,0
jps.global.get.libraries.ms,1708438423315000000,1708438483315000000,1
workspaceModel.mutableEntityStorage.modify.entity.ms,1708438423315000000,1708438483315000000,0
jps.global.get.library.ms,1708438423315000000,1708438483315000000,0
